Género;Rango_Etario;Localidad;Situación_país;AprobaciónVázquez;CambiosUy;AprobaciónPeña;CambiosLava;Voto2014;VotoInternas;Proyección2019;PrioridadesNacional;Diputados;Senado;InterésEnPolítica;IdentificaciónIdeológica;NivelEstudios;SituaciónEconómica;Intendente;Televisión;Radio;Ponderador
Femenino;de 51 a 64;Pirarajá;No lo sé;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;En Blanco / Anulado;Cabildo Abierto;Todavía no lo he decidido;No lo sé;No lo Sé;Gustavo Zubía;Me interesa;Derecha Dura;Primaria Completa;Regular;Luis Carrese;NO;No;0,2128
Femenino;de 51 a 64;Solis;Mala;Desaprueba;Seguridad Pública;Aprueba;Bajos Salarios;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Ninguno;Gustavo Salle;Me gusta;Derecha Dura;Terciario Completo;Regular;No lo sé;NO;No;0,5152
Femenino;de 40 a 50;Mariscala;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;No lo sé;Me interesa;Izquierda Moderada;Secundaria Incompleta;Mala;No lo sé;SI;No;0,9735
Masculino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Todavía no lo he decidido;Voto principalmente a quiénes van a la diputación;Ernesto Cesar;Juan Sartori;Me interesa;Centro Izquierda;Secundaria Incompleta;Regular;No lo sé;SI;SI;1,1592
Masculino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes integran la lista al senado;Ninguno;Gustavo Salle;Nada;Derecha Moderada;Primaria Completa;Regular;Ninguno;NO;No;0,4788
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Partido Nacional;Cabildo Abierto;Cabildo Abierto;No lo sé;Ninguno;Juan Sartori;Me gusta;Centro;Universitario Completo;Regular;Luis Carrese;NO;No;0,209
Femenino;de 40 a 50;Minas;Mala;No lo sé;Seguridad Pública;Ni aprueba ni desaprueba;Bajos Salarios;Frente Amplio;Partido Colorado;Todavía no lo he decidido;Voto principalmente a quiénes van a la diputación;Carol Aviaga;Carolina Cosse;Me gusta;Derecha Moderada;Secundaria Incompleta;Mala;Daniel Ximénez;NO;No;0,5115
Masculino;de 23 a 29;Varela;Regular;Ni aprueba ni desaprueba;Salud;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;Partido Nacional;Todavía no lo he decidido;No lo sé;Carol Aviaga;Gustavo Zubía;Nada;Centro Derecha;Secundaria Completa;Buena;Ninguno;NO;No;2,1252
Femenino;de 30 a 39;Minas;Mala;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Todavía no lo he decidido;Soy Indiferente;Alexandra Inzaurralde;Juan Sartori;Algo;Izquierda Dura;Secundaria Incompleta;Regular;No lo sé;NO;SI;1,239
Femenino;de 65 a más;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Andrea Aviaga;Jorge Larrañaga;Me interesa;Centro;Secundaria Incompleta;Mala;Tomás Casas;NO;SI;1,8584
Femenino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Bajos Salarios;Frente Amplio;No Voté;Todavía no lo he decidido;No lo sé;No lo Sé;No lo sé;Nada;Ultra Izquierda;Secundaria Incompleta;Regular;No lo sé;NO;No;1,239
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;No lo sé;Alexandra Inzaurralde;Luis Lacalle Pou;Me interesa;Centro Derecha;Secundaria Completa;Mala;Mario García;NO;SI;0,9912
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Gustavo Zubía;Casi nada;Centro;Terciario Incompleto;Regular;Mario García;NO;No;0,5152
Masculino;de 40 a 50;Pirarajá;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Robert Bouvier;Ernesto Talvi;Me gusta;Derecha Moderada;Primaria Completa;Mala;Luis Carrese;NO;No;1,302
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Todavía no lo he decidido;No lo sé;Alexandra Inzaurralde;Carolina Cosse;Poco;Izquierda Moderada;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;0,9735
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Cabildo Abierto;Partido Nacional;No lo sé;Alexandra Inzaurralde;Gustavo Zubía;Me gusta;Centro;Secundaria Completa;Mala;Daniel Ximénez;NO;No;0,209
Masculino;de 40 a 50;Minas;Muy Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Gustavo Zubía;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Mala;Mario García;NO;SI;0,532
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Ninguno;Poco;Ultra Izquierda;Secundaria Incompleta;Buena;Ninguno;NO;No;0,532
Femenino;de 51 a 64;Varela;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Jorge Larrañaga;Me gusta;Centro;Secundaria Completa;Mala;Daniel Ximénez;NO;SI;0,5152
Femenino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Educación;Desaprueba;Los Políticos;Frente Amplio;Partido Nacional;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Gustavo Risso;Ernesto Talvi;Me gusta mucho;Derecha Dura;Secundaria Completa;Regular;Alberto Acosta;SI;SI;0,644
Femenino;de 30 a 39;Minas;Mala;Desaprueba;Empleo;Aprueba;Bajos Salarios;Frente Amplio;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Gastón Elola;Luis Lacalle Pou;Me interesa;Izquierda Moderada;Secundaria Incompleta;Mala;Gastón Elola;NO;No;0,644
Femenino;de 51 a 64;Minas;Buena;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Centro Derecha;Secundaria Completa;Buena;Daniel Ximénez;SI;No;0,1624
Masculino;de 23 a 29;Minas;Mala;Desaprueba;Seguridad Pública;Desaprueba;Servicios de Salud;Partido Nacional;Partido Nacional;Partido Nacional;No lo sé;Jorge Diano;Juan Sartori;Me gusta mucho;Centro Derecha;Terciario Completo;Buena;Alberto Acosta;SI;SI;2,1252
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Julio María Sanguinetti;Me gusta mucho;Centro;Terciario Incompleto;Buena;Eduardo velázquez;SI;SI;0,5208
Femenino;de 65 a más;Varela;Buena;Aprueba;Empleo;Desaprueba;Bajos Salarios;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Centro Izquierda;Terciario Completo;Buena;Pablo Fuentes;NO;SI;0,5858
Femenino;de 30 a 39;Minas;Regular;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Ernesto Cesar;No lo sé;Algo;Centro Derecha;Terciario Completo;Buena;Daniel Ximénez;SI;No;1,239
Masculino;de 65 a más;Minas;Regular;Desaprueba;Educación;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Carol Aviaga;Me gusta mucho;Centro;Secundaria Completa;Buena;Mario García;SI;No;2,1804
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Cabildo Abierto;No pienso votar;Alexandra Inzaurralde;Julio María Sanguinetti;Poco;Centro Derecha;Secundaria Completa;Mala;Daniel Ximénez;NO;No;1,239
Femenino;de 30 a 39;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Jorge Larrañaga;Me gusta;Derecha Dura;Terciario Completo;Regular;Mario García;NO;SI;0,644
Femenino;de 30 a 39;Minas;Regular;Desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Colorado;Voto principalmente a quiénes integran la lista al senado;Robert Bouvier;Ernesto Talvi;Me gusta mucho;Ultra Derecha;Secundaria Completa;Regular;Luis Carrese;SI;SI;1,239
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Ninguno;No pienso votar;Ninguno;Ninguno;Poco;Izquierda Dura;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;0,9912
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;No lo sé;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;No lo sé;No lo Sé;No lo sé;Nada;Centro;Secundaria Incompleta;Buena;Mario García;SI;No;0,506
Femenino;de 51 a 64;Minas;Buena;Aprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Soy Indiferente;Ernesto Cesar;Danilo Astori;Me gusta mucho;Ultra Izquierda;Secundaria Completa;Buena;Daniel Ximénez;SI;SI;0,1624
Femenino;de 40 a 50;Varela;Muy Mala;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Jorge Larrañaga;Me gusta;Izquierda Moderada;Secundaria Completa;Muy Mala;Mario García;NO;SI;0,506
Femenino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Medio Ambiente;Frente Amplio;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;No lo Sé;No lo sé;Nada;Centro;Secundaria Incompleta;Mala;Mario García;SI;SI;0,5152
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Oferta Educativa;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Julio María Sanguinetti;Me interesa;Centro Derecha;Secundaria Completa;Buena;No lo sé;SI;No;0,5115
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Julio María Sanguinetti;Me interesa;Ultra Derecha;Secundaria Completa;Regular;Mario García;NO;SI;0,5152
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Jorge Larrañaga;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Buena;Ninguno;NO;No;0,5152
Masculino;de 65 a más;Minas;Buena;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Julián Mazzoni;Danilo Astori;Me interesa;Centro;Secundaria Incompleta;Buena;Alberto Acosta;SI;No;0,6873
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Julio María Sanguinetti;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Mala;Mario García;NO;No;1,288
Femenino;de 23 a 29;Minas;Buena;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Robert Bouvier;No lo sé;Algo;Centro;Universitario Incompleto;Regular;Mario García;NO;SI;0,2262
Masculino;de 30 a 39;Minas;Muy Mala;Desaprueba;Medio Ambiente;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Gustavo Salle;Me interesa;Derecha Moderada;Secundaria Incompleta;Mala;Mario García;NO;SI;1,6652
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Me interesa;Derecha Dura;Secundaria Completa;Regular;Mario García;NO;No;0,5152
Femenino;de 23 a 29;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Gustavo Salle;Me gusta mucho;Ultra Derecha;Universitario Incompleto;Muy Mala;Mario García;NO;No;0,7176
Femenino;de 40 a 50;Solis;Regular;Desaprueba;Políticas Sociales;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Ninguno;Algo;Centro Derecha;Terciario Completo;Regular;Mario García;SI;SI;0,506
Femenino;de 30 a 39;Minas;Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;No lo sé;No lo Sé;Julio María Sanguinetti;Nada;Ultra Derecha;Primaria Completa;Mala;Gastón Elola;NO;SI;1,239
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;Cabildo Abierto;Cabildo Abierto;No lo sé;No lo Sé;Luis Lacalle Pou;Algo;Ultra Derecha;Secundaria Completa;Regular;Ninguno;SI;SI;0,209
Femenino;de 40 a 50;Varela;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Medio Ambiente;Frente Amplio;No Voté;Todavía no lo he decidido;No lo sé;No lo Sé;No lo sé;Algo;Izquierda Moderada;Secundaria Incompleta;Mala;Mario García;SI;SI;0,9735
Femenino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Jorge Larrañaga;Me gusta;Centro Derecha;Secundaria Completa;Regular;Luis Carrese;NO;SI;0,5152
Masculino;de 51 a 64;Varela;Muy Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes van a la diputación;Robert Bouvier;Gustavo Zubía;Me gusta mucho;Ultra Derecha;Secundaria Completa;Muy Mala;Gastón Elola;SI;SI;1,1718
Femenino;de 30 a 39;Minas;Mala;No lo sé;Empleo;No lo sé;Falta de Empleo;Frente Amplio;Frente Amplio;Partido Colorado;No lo sé;No lo Sé;Ernesto Talvi;Me gusta mucho;Ultra Izquierda;Terciario Incompleto;Mala;Pablo Fuentes;SI;SI;0,203
Femenino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Frente Amplio;No Voté;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Gastón Elola;Jorge Larrañaga;Algo;Centro;Terciario Incompleto;Buena;Gastón Elola;NO;No;1,239
Masculino;de 65 a más;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Seguridad Pública;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Gustavo Salle;Algo;Ultra Derecha;Terciario Incompleto;Regular;No lo sé;SI;No;0,9006
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Jorge Larrañaga;Algo;Derecha Dura;Secundaria Incompleta;Regular;Mario García;SI;SI;0,5152
Femenino;de 23 a 29;Minas;Mala;No lo sé;Empleo;Aprueba;Bajos Salarios;Frente Amplio;No Voté;Todavía no lo he decidido;Voto principalmente a quiénes van a la diputación;Jorge Diano;Carol Aviaga;Me interesa;Centro;Secundaria Completa;Regular;Mario García;NO;No;1,3806
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Empleo;Desaprueba;Bajos Salarios;Partido Nacional;Cabildo Abierto;Cabildo Abierto;No lo sé;Gustavo Risso;Ninguno;Me gusta;Centro;Secundaria Completa;Mala;Tomás Casas;SI;SI;0,532
Femenino;de 30 a 39;Minas;Mala;Ni aprueba ni desaprueba;Seguridad Pública;No lo sé;Falta de Empleo;Frente Amplio;Partido Nacional;Frente Amplio;No lo sé;No lo Sé;No lo sé;Me interesa;Izquierda Dura;Primaria Completa;Mala;No lo sé;NO;No;0,644
Femenino;de 65 a más;Minas;Buena;Aprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Frente Amplio;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Derecha Moderada;Terciario Incompleto;Buena;Daniel Ximénez;NO;No;0,5858
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Partido Independiente;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Ninguno;No lo sé;Nada;Centro;Secundaria Incompleta;Regular;No lo sé;NO;SI;0,209
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Todavía no lo he decidido;Solo me interesa elegir al candidato a Presidente;Ninguno;Julio María Sanguinetti;Algo;Centro;Secundaria Incompleta;Buena;Alberto Acosta;SI;No;0,9912
Masculino;de 51 a 64;Minas;Buena;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;José Mujica;Me gusta mucho;Izquierda Moderada;Secundaria Completa;Buena;Daniel Ximénez;NO;SI;0,3654
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Servicios de Salud;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Nada;Ultra Derecha;Secundaria Completa;Muy Mala;Ninguno;NO;No;0,209
Femenino;de 65 a más;Minas;Buena;Aprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Soy Indiferente;Robert Bouvier;Óscar Andrade;Me gusta;Centro Izquierda;Secundaria Completa;Buena;Ninguno;SI;No;0,5858
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Partido Colorado;Partido Colorado;Voto principalmente a quiénes integran la lista al senado;Gustavo Risso;Julio María Sanguinetti;Me gusta mucho;Ultra Derecha;Secundaria Completa;Buena;Mario García;SI;SI;0,5115
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Bajos Salarios;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Julio María Sanguinetti;Casi nada;Ultra Derecha;Secundaria Completa;Mala;Ninguno;NO;No;0,506
Masculino;de 23 a 29;Varela;Muy Mala;Desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;Soy Indiferente;No lo Sé;Luis Lacalle Pou;Algo;Ultra Derecha;Primaria Completa;Muy Mala;Gastón Elola;NO;No;4,0887
Femenino;de 51 a 64;Minas;Muy Buena;Aprueba;Política Migratoria;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;José Mujica;Me gusta mucho;Ultra Izquierda;Secundaria Completa;Buena;Pablo Fuentes;SI;SI;0,1624
Masculino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Carol Aviaga;Jorge Larrañaga;Me gusta;Derecha Dura;Terciario Completo;Regular;Mario García;NO;No;1,1592
Masculino;de 65 a más;Minas;Buena;Aprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Julián Mazzoni;Óscar Andrade;Me interesa;Centro Izquierda;Secundaria Incompleta;Buena;Daniel Ximénez;NO;No;4,1949
Masculino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Independiente;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Estrella Cabana;Carol Aviaga;Me interesa;Centro Izquierda;Secundaria Incompleta;Regular;Daniel Ximénez;SI;SI;1,1592
Femenino;de 40 a 50;Minas;Buena;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;No Voté;Cabildo Abierto;No lo sé;No lo Sé;Ninguno;Casi nada;Centro Izquierda;Terciario Incompleto;Buena;Daniel Ximénez;NO;No;0,9735
Masculino;de 51 a 64;Minas;Mala;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Soy Indiferente;Robert Bouvier;Ernesto Talvi;Algo;Centro;Universitario Completo;Mala;Luis Carrese;NO;No;1,1718
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Luis Lacalle Pou;Me interesa;Ultra Derecha;Terciario Incompleto;Muy Mala;Mario García;SI;SI;0,2128
Femenino;de 40 a 50;Minas;Muy Mala;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Me interesa;Derecha Moderada;Secundaria Incompleta;Regular;No lo sé;NO;SI;0,5115
Femenino;de 40 a 50;Minas;Mala;Ni aprueba ni desaprueba;Jubilaciones y Pensiones;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Robert Bouvier;Julio María Sanguinetti;Algo;Ultra Derecha;Secundaria Incompleta;Mala;Marcelo Rodríguez;NO;SI;0,5115
Masculino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Ninguno;Ninguno;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Regular;Mario García;SI;SI;0,4788
Masculino;de 51 a 64;Mariscala;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Partido de la Gente;Todavía no lo he decidido;Solo me interesa elegir al candidato a Presidente;No lo Sé;José Mujica;Me gusta;Centro Izquierda;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;0,6048
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Jubilaciones y Pensiones;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Ninguno;Solo me interesa elegir al candidato a Presidente;Andrea Aviaga;Ernesto Talvi;Algo;Centro;Secundaria Incompleta;Mala;No lo sé;SI;SI;0,5152
Femenino;de 18 a 22;Minas;Regular;Aprueba;Empleo;Aprueba;Falta de Empleo;No Voté;No Voté;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Gastón Elola;No lo sé;Algo;Izquierda Moderada;Secundaria Incompleta;Regular;Gastón Elola;SI;SI;1,3806
Femenino;de 51 a 64;Minas;Muy Buena;Aprueba;Políticas Sociales;Desaprueba;Bajos Salarios;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Ultra Derecha;Primaria Incompleta;Muy Buena;Daniel Ximénez;NO;No;0,1624
Femenino;de 40 a 50;Batlle y Ordóñez;Regular;Ni aprueba ni desaprueba;Educación;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Jorge Larrañaga;Algo;Centro Izquierda;Secundaria Incompleta;Regular;José Viscazo;NO;SI;0,9735
Masculino;de 65 a más;Otra zona rural;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Colorado;No Voté;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Robert Bouvier;Julio María Sanguinetti;Nada;Centro;Primaria Completa;Regular;Alberto Acosta;SI;SI;4,1949
Femenino;de 23 a 29;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;No Voté;Partido Nacional;Partido Nacional;Soy Indiferente;No lo Sé;Luis Lacalle Pou;Algo;Centro;Secundaria Incompleta;Regular;Mario García;SI;No;0,7176
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Educación;Desaprueba;Servicios Públicos;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Algo;Centro;Secundaria Incompleta;Buena;Mario García;SI;SI;1,288
Femenino;de 23 a 29;Minas;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Luis Lacalle Pou;Me interesa;Derecha Moderada;Secundaria Completa;Mala;No lo sé;NO;No;0,7176
